"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "Prisma", "Markdown", "PL/SQL", "YAML", "PostCSS", "comment", "blank", "total"
"e:\FYP\educonnect-fyp\src\app\api\articles\[id]\route.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 158
"e:\FYP\educonnect-fyp\src\app\api\articles\route.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 90
"e:\FYP\educonnect-fyp\src\app\api\auth\[...nextauth]\options.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 104
"e:\FYP\educonnect-fyp\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\FYP\educonnect-fyp\src\app\api\auth\check-admin\route.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 47
"e:\FYP\educonnect-fyp\src\app\api\books\[id]\route.ts", "TypeScript", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 169
"e:\FYP\educonnect-fyp\src\app\api\books\route.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 108
"e:\FYP\educonnect-fyp\src\app\api\bookupload\route.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 67
"e:\FYP\educonnect-fyp\src\app\api\chat\chat\route.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 46
"e:\FYP\educonnect-fyp\src\app\api\chat\groups\route.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 91
"e:\FYP\educonnect-fyp\src\app\api\check-username-unique\route.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 73
"e:\FYP\educonnect-fyp\src\app\api\events\[eventId]\route.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
